_id,Timestamp,Redemption Count,Sales Count
1,2025-06-25T14:45:00,153,158
2,2025-06-25T14:30:00,188,179
3,2025-06-25T14:15:00,213,160
4,2025-06-25T14:00:00,203,246
5,2025-06-25T13:45:00,143,151
6,2025-06-25T13:30:00,192,169
7,2025-06-25T13:15:00,213,155
8,2025-06-25T13:00:00,153,207
9,2025-06-25T12:45:00,263,143
10,2025-06-25T12:30:00,241,185
11,2025-06-25T12:15:00,287,149
12,2025-06-25T12:00:00,306,174
13,2025-06-25T11:45:00,333,291
14,2025-06-25T11:30:00,191,156
15,2025-06-25T11:15:00,258,169
16,2025-06-25T11:00:00,175,171
17,2025-06-25T10:45:00,110,126
18,2025-06-25T10:30:00,126,98
19,2025-06-25T10:15:00,193,110
20,2025-06-25T10:00:00,297,153
21,2025-06-25T09:45:00,168,89
22,2025-06-25T09:30:00,317,67
23,2025-06-25T09:15:00,65,69
24,2025-06-25T09:00:00,129,77
25,2025-06-25T08:45:00,3,43
26,2025-06-25T08:30:00,32,100
27,2025-06-25T08:15:00,26,27
28,2025-06-25T08:00:00,19,54
29,2025-06-25T07:45:00,12,34
30,2025-06-25T07:30:00,14,13
31,2025-06-25T07:15:00,6,7
32,2025-06-25T07:00:00,14,20
33,2025-06-25T06:45:00,21,17
34,2025-06-25T06:30:00,13,15
35,2025-06-25T06:15:00,0,5
36,2025-06-25T06:00:00,0,1
37,2025-06-25T05:45:00,0,2
38,2025-06-25T05:15:00,0,1
39,2025-06-25T02:45:00,0,5
40,2025-06-25T02:30:00,0,2
41,2025-06-25T02:00:00,0,3
42,2025-06-25T01:30:00,0,3
43,2025-06-25T00:45:00,0,22
44,2025-06-25T00:30:00,0,2
45,2025-06-25T00:15:00,0,9
46,2025-06-25T00:00:00,0,9
47,2025-06-24T23:45:00,0,18
48,2025-06-24T23:30:00,4,12
49,2025-06-24T23:15:00,0,13
50,2025-06-24T23:00:00,3,0
51,2025-06-24T22:45:00,19,33
52,2025-06-24T22:30:00,9,12
53,2025-06-24T22:15:00,4,26
54,2025-06-24T22:00:00,31,49
55,2025-06-24T21:45:00,13,18
56,2025-06-24T21:30:00,30,42
57,2025-06-24T21:15:00,28,42
58,2025-06-24T21:00:00,24,45
59,2025-06-24T20:45:00,52,56
60,2025-06-24T20:30:00,66,62
61,2025-06-24T20:15:00,55,60
62,2025-06-24T20:00:00,36,41
63,2025-06-24T19:45:00,52,60
64,2025-06-24T19:30:00,120,140
65,2025-06-24T19:15:00,67,66
66,2025-06-24T19:00:00,98,98
67,2025-06-24T18:45:00,87,95
68,2025-06-24T18:30:00,113,98
69,2025-06-24T18:15:00,115,100
70,2025-06-24T18:00:00,137,128
71,2025-06-24T17:45:00,78,82
72,2025-06-24T17:30:00,168,136
73,2025-06-24T17:15:00,123,121
74,2025-06-24T17:00:00,88,98
75,2025-06-24T16:45:00,112,113
76,2025-06-24T16:30:00,125,121
77,2025-06-24T16:15:00,111,120
78,2025-06-24T16:00:00,142,155
79,2025-06-24T15:45:00,133,156
80,2025-06-24T15:30:00,102,139
81,2025-06-24T15:15:00,83,79
82,2025-06-24T15:00:00,118,145
83,2025-06-24T14:45:00,277,268
84,2025-06-24T14:30:00,130,150
85,2025-06-24T14:15:00,157,144
86,2025-06-24T14:00:00,145,138
87,2025-06-24T13:45:00,79,89
88,2025-06-24T13:30:00,197,169
89,2025-06-24T13:15:00,113,108
90,2025-06-24T13:00:00,121,123
91,2025-06-24T12:45:00,109,115
92,2025-06-24T12:30:00,163,173
93,2025-06-24T12:15:00,96,117
94,2025-06-24T12:00:00,133,183
95,2025-06-24T11:45:00,111,117
96,2025-06-24T11:30:00,138,139
97,2025-06-24T11:15:00,146,136
98,2025-06-24T11:00:00,76,95
99,2025-06-24T10:45:00,74,104
100,2025-06-24T10:30:00,165,160
101,2025-06-24T10:15:00,70,52
102,2025-06-24T10:00:00,58,62
103,2025-06-24T09:45:00,59,53
104,2025-06-24T09:30:00,83,60
105,2025-06-24T09:15:00,51,29
106,2025-06-24T09:00:00,86,47
107,2025-06-24T08:45:00,21,56
108,2025-06-24T08:30:00,32,33
109,2025-06-24T08:15:00,21,103
110,2025-06-24T08:00:00,11,15
111,2025-06-24T07:45:00,11,32
112,2025-06-24T07:30:00,34,35
113,2025-06-24T07:15:00,16,22
114,2025-06-24T07:00:00,19,33
115,2025-06-24T06:45:00,11,15
116,2025-06-24T06:30:00,15,9
117,2025-06-24T06:00:00,0,5
118,2025-06-24T05:30:00,0,1
119,2025-06-24T04:30:00,0,1
120,2025-06-24T04:00:00,0,1
121,2025-06-24T03:15:00,0,1
122,2025-06-24T02:45:00,0,2
123,2025-06-24T02:00:00,0,1
124,2025-06-24T01:45:00,0,1
125,2025-06-24T01:30:00,0,1
126,2025-06-24T01:15:00,0,1
127,2025-06-24T01:00:00,0,2
128,2025-06-24T00:45:00,0,3
129,2025-06-24T00:30:00,0,4
130,2025-06-24T00:15:00,0,6
131,2025-06-23T23:45:00,0,5
132,2025-06-23T23:30:00,3,17
133,2025-06-23T23:15:00,6,16
134,2025-06-23T23:00:00,4,27
135,2025-06-23T22:45:00,6,15
136,2025-06-23T22:30:00,5,9
137,2025-06-23T22:15:00,8,18
138,2025-06-23T22:00:00,8,45
139,2025-06-23T21:45:00,13,21
140,2025-06-23T21:30:00,25,45
141,2025-06-23T21:15:00,33,32
142,2025-06-23T21:00:00,32,33
143,2025-06-23T20:45:00,62,65
144,2025-06-23T20:30:00,97,105
145,2025-06-23T20:15:00,73,80
146,2025-06-23T20:00:00,30,39
147,2025-06-23T19:45:00,56,47
148,2025-06-23T19:30:00,151,160
149,2025-06-23T19:15:00,120,115
150,2025-06-23T19:00:00,95,83
151,2025-06-23T18:45:00,78,70
152,2025-06-23T18:30:00,154,116
153,2025-06-23T18:15:00,131,101
154,2025-06-23T18:00:00,136,148
155,2025-06-23T17:45:00,103,129
156,2025-06-23T17:30:00,154,144
157,2025-06-23T17:15:00,134,152
158,2025-06-23T17:00:00,98,117
159,2025-06-23T16:45:00,130,152
160,2025-06-23T16:30:00,135,122
161,2025-06-23T16:15:00,130,117
162,2025-06-23T16:00:00,134,117
163,2025-06-23T15:45:00,143,154
164,2025-06-23T15:30:00,164,140
165,2025-06-23T15:15:00,174,139
166,2025-06-23T15:00:00,231,207
167,2025-06-23T14:45:00,190,206
168,2025-06-23T14:30:00,217,202
169,2025-06-23T14:15:00,169,204
170,2025-06-23T14:00:00,231,191
171,2025-06-23T13:45:00,105,155
172,2025-06-23T13:30:00,182,264
173,2025-06-23T13:15:00,214,211
174,2025-06-23T13:00:00,181,180
175,2025-06-23T12:45:00,199,174
176,2025-06-23T12:30:00,265,222
177,2025-06-23T12:15:00,229,246
178,2025-06-23T12:00:00,255,198
179,2025-06-23T11:45:00,191,209
180,2025-06-23T11:30:00,218,179
181,2025-06-23T11:15:00,222,200
182,2025-06-23T11:00:00,182,200
183,2025-06-23T10:45:00,118,155
184,2025-06-23T10:30:00,139,154
185,2025-06-23T10:15:00,105,103
186,2025-06-23T10:00:00,183,171
187,2025-06-23T09:45:00,206,127
188,2025-06-23T09:30:00,112,86
189,2025-06-23T09:15:00,74,96
190,2025-06-23T09:00:00,128,87
191,2025-06-23T08:45:00,41,73
192,2025-06-23T08:30:00,31,36
193,2025-06-23T08:15:00,38,45
194,2025-06-23T08:00:00,29,42
195,2025-06-23T07:45:00,16,26
196,2025-06-23T07:30:00,21,21
197,2025-06-23T07:15:00,13,14
198,2025-06-23T07:00:00,29,19
199,2025-06-23T06:45:00,4,7
200,2025-06-23T06:30:00,8,5
201,2025-06-23T06:15:00,0,5
202,2025-06-23T04:00:00,0,1
203,2025-06-23T03:15:00,0,2
204,2025-06-23T03:00:00,0,4
205,2025-06-23T02:45:00,0,1
206,2025-06-23T02:30:00,0,1
207,2025-06-23T02:15:00,0,2
208,2025-06-23T02:00:00,0,2
209,2025-06-23T01:30:00,0,4
210,2025-06-23T01:15:00,0,3
211,2025-06-23T01:00:00,0,4
212,2025-06-23T00:45:00,0,6
213,2025-06-23T00:30:00,0,6
214,2025-06-23T00:15:00,0,69
215,2025-06-23T00:00:00,0,2
216,2025-06-22T23:45:00,0,2
217,2025-06-22T23:30:00,6,23
218,2025-06-22T23:15:00,0,8
219,2025-06-22T23:00:00,8,11
220,2025-06-22T22:45:00,7,18
221,2025-06-22T22:30:00,6,14
222,2025-06-22T22:15:00,30,35
223,2025-06-22T22:00:00,10,18
224,2025-06-22T21:45:00,42,65
225,2025-06-22T21:30:00,36,44
226,2025-06-22T21:15:00,27,37
227,2025-06-22T21:00:00,43,44
228,2025-06-22T20:45:00,54,69
229,2025-06-22T20:30:00,119,106
230,2025-06-22T20:15:00,48,53
231,2025-06-22T20:00:00,87,83
232,2025-06-22T19:45:00,71,69
233,2025-06-22T19:30:00,147,108
234,2025-06-22T19:15:00,144,135
235,2025-06-22T19:00:00,116,132
236,2025-06-22T18:45:00,159,144
237,2025-06-22T18:30:00,169,171
238,2025-06-22T18:15:00,184,220
239,2025-06-22T18:00:00,210,170
240,2025-06-22T17:45:00,181,148
241,2025-06-22T17:30:00,369,298
242,2025-06-22T17:15:00,220,252
243,2025-06-22T17:00:00,258,243
244,2025-06-22T16:45:00,240,223
245,2025-06-22T16:30:00,279,251
246,2025-06-22T16:15:00,313,308
247,2025-06-22T16:00:00,372,325
248,2025-06-22T15:45:00,389,330
249,2025-06-22T15:30:00,368,361
250,2025-06-22T15:15:00,452,390
251,2025-06-22T15:00:00,470,373
252,2025-06-22T14:45:00,446,392
253,2025-06-22T14:30:00,427,382
254,2025-06-22T14:15:00,419,352
255,2025-06-22T14:00:00,449,463
256,2025-06-22T13:45:00,380,340
257,2025-06-22T13:30:00,418,332
258,2025-06-22T13:15:00,425,368
259,2025-06-22T13:00:00,381,395
260,2025-06-22T12:45:00,501,420
261,2025-06-22T12:30:00,427,436
262,2025-06-22T12:15:00,440,336
263,2025-06-22T12:00:00,389,373
264,2025-06-22T11:45:00,445,368
265,2025-06-22T11:30:00,348,338
